"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderSceneGen.h", "C++", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 42, 273
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderTessellator.cpp", "C++", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 80, 524
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderTessellator.h", "C++", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 35, 210
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\C4D\C4DImporter.cpp", "C++", 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 106, 611
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\C4D\C4DImporter.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 20, 111
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\COB\COBLoader.cpp", "C++", 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 187, 1174
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\COB\COBLoader.h", "C++", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 24, 153
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\COB\COBScene.h", "C++", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 49, 277
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\CSM\CSMLoader.cpp", "C++", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 42, 293
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\CSM\CSMLoader.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 13, 89
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Collada\ColladaExporter.cpp", "C++", 1284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 272, 1748
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Collada\ColladaExporter.h", "C++", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 48, 258
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Collada\ColladaHelper.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 10, 100
